,Date,Form,New,Matters_level01,Matters_level2
30,1531-03-23T00:00:00Z,Verordnung,True,1 Social Order and Religion,Abundance and Luxury
31,1531-08-10T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
32,1531-12-16T00:00:00Z,Mandat,True,1 Social Order and Religion,Matters of Religion
33,1533-02-12T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
34,1533-03-12T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
35,1533-04-14T00:00:00Z,Ordnung,False,1 Social Order and Religion,Matters of Religion
36,1533-09-30T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
39,1534-11-18T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
40,1535-03-23T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
41,1536-11-05T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
45,1538-09-16T00:00:00Z,Ordnung,False,1 Social Order and Religion,Matters of Religion
46,1540-11-08T00:00:00Z,Verordnung,False,1 Social Order and Religion,Abundance and Luxury
47,1541-12-08T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
48,1542-07-15T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
50,1545-03-02T00:00:00Z,Ordnung,False,2 Public Order and Safety,Administration and Justice
51,1546-06-27T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Monetary and Credit System
52,1547-10-23T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
53,1548-12-31T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
54,1550-09-17T00:00:00Z,Ordnung,False,1 Social Order and Religion,Matters of Religion
60,1558-06-06T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
61,1558-08-27T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
62,1559-03-07T00:00:00Z,Verordnung,False,1 Social Order and Religion,Matters of Religion
63,1559-08-03T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
64,1559-09-12T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
65,1560-12-01T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
66,1561-03-07T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
67,1561-12-09T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
68,1562-12-01T00:00:00Z,Ordnung,True,5 Land Divisions,Water
74,1566-04-30T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
75,1566-05-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
76,1566-05-16T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
77,1566-06-06T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
78,1566-07-18T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
80,1566-09-11T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
81,1566-09-13T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
87,1568-11-12T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
88,1569-04-03T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
90,1569-11-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
91,1570-01-31T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
92,1570-08-03T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
93,1570-08-18T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
94,1570-11-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
95,1571-01-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Craft and trade
96,1571-01-20T00:00:00Z,Ordnung,True,2 Public Order and Safety,Administration and Justice
97,1571-02-03T00:00:00Z,Ordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
98,1571-02-19T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
99,1571-04-11T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
100,1571-04-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
101,1571-04-28T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
102,1571-05-01T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
103,1571-05-05T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
104,1571-05-05T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
105,1571-05-25T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
106,1571-06-04T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
107,1571-06-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
108,1571-06-10T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
109,1571-06-10T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
110,1571-06-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
111,1571-06-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
112,1571-08-14T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
113,1571-09-14T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
114,1571-09-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
115,1571-10-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
116,1571-10-08T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
117,1571-10-25T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
118,1571-10-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
119,1571-11-15T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
120,1571-12-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
121,1571-12-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
122,1571-12-22T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Agriculture
124,1572-01-12T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
125,1572-01-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
126,1572-01-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
130,1572-03-25T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
132,1572-05-15T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
133,1572-06-13T00:00:00Z,Ordnung,True,1 Social Order and Religion,Abundance and Luxury
134,1572-07-04T00:00:00Z,Verordnung,True,1 Social Order and Religion,Abundance and Luxury
135,1572-08-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
136,1572-08-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
138,1572-08-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
140,1572-09-25T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
142,1572-09-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
145,1572-12-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
146,1572-12-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
147,1573-01-03T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
149,1573-02-07T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
150,1573-02-07T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
151,1573-02-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
152,1573-02-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
153,1573-04-05T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
154,1573-04-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
155,1573-09-01T00:00:00Z,Verordnung,True,5 Land Divisions,Public Construction Infrastructure
156,1573-11-20T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
158,1574-03-28T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
160,1574-07-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
161,1574-09-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
163,1575-01-22T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
164,1575-06-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
165,1575-11-15T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Trade and Services
166,1576-01-31T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
169,1579-09-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
170,1579-09-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
172,1579-10-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
173,1579-10-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
174,1580-01-01T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
176,1580-04-19T00:00:00Z,Ordnung,True,2 Public Order and Safety,Administration and Justice
178,1580-07-25T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
179,1580-07-27T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
180,1580-11-03T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Trade and Services
181,1580-11-27T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
185,1581-05-02T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
187,1582-01-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
188,1582-01-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
189,1582-02-24T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
193,1587-12-01T00:00:00Z,Ordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
194,1587-05-10T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
195,1587-06-03T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
196,1587-06-03T00:00:00Z,Mandat und Satzung,True,4 Economic order. Work and professional regulations,Agriculture
197,1587-06-08T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
198,1587-07-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
199,1587-08-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
200,1587-08-17T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
201,1587-09-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Craft and trade
202,1587-09-15T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
204,1588-02-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
205,1588-04-27T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
206,1588-06-15T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
207,1588-06-15T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
209,1588-08-14T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
211,1588-10-22T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
213,1588-11-26T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
215,1589-01-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
217,1589-03-18T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
218,1589-03-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
219,1589-04-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
220,1589-04-28T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
221,1589-06-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
222,1589-11-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
223,1590-01-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
224,1590-03-24T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
225,1590-05-22T00:00:00Z,Verordnung,True,5 Land Divisions,Water
226,1590-11-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
227,1590-11-23T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
228,1590-12-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
229,1590-12-28T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
230,1591-03-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
231,1591-04-17T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
233,1591-07-30T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Craft and trade
234,1591-11-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
235,1591-12-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
236,1592-01-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
237,1592-01-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
238,1592-01-14T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
239,1592-02-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
240,1592-02-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
241,1592-03-12T00:00:00Z,Verordnung,True,5 Land Divisions,Water
242,1592-03-13T00:00:00Z,Verordnung,True,5 Land Divisions,Water
244,1592-04-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
245,1592-04-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
246,1592-05-13T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
247,1592-05-19T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
248,1592-05-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
250,1592-06-20T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
251,1592-07-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
252,1592-07-18T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
253,1592-08-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
254,1592-08-26T00:00:00Z,Verordnung,True,5 Land Divisions,Water
255,1592-09-05T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
256,1592-09-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
257,1592-09-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
258,1592-09-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
259,1592-09-18T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
261,1592-10-20T00:00:00Z,Ordnung,True,2 Public Order and Safety,Administration and Justice
262,1592-11-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
264,1592-11-23T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
265,1592-11-23T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
266,1592-12-03T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
267,1592-12-22T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
268,1593-02-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
269,1593-04-07T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
270,1593-04-18T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
272,1593-07-20T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Agriculture
273,1594-02-13T00:00:00Z,Ordnung,True,4 Economic order. Work and professional regulations,Craft and trade
274,1594-05-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
275,1594-06-03T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
276,1594-06-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
277,1594-07-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
280,1594-12-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
282,1595-09-04T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
283,1595-09-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
284,1595-12-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
285,1596-04-15T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
286,1596-05-20T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Monetary and Credit System
288,1596-06-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
289,1596-07-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
290,1596-07-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
291,1596-08-14T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
292,1596-08-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
293,1596-09-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
295,1596-09-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
298,1596-12-12T00:00:00Z,Ordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
299,1597-02-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
300,1597-04-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
302,1597-04-28T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
306,1597-06-08T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
307,1597-06-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
308,1597-09-05T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
309,1598-01-26T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
310,1598-05-31T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
312,1598-06-21T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
315,1598-09-09T00:00:00Z,Verordnung,False,4 Economic order. Work and professional regulations,Trade and Services
316,1598-09-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
317,1598-09-11T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
318,1598-12-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
319,1599-01-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
320,1599-01-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
321,1599-03-10T00:00:00Z,Verordnung,False,1 Social Order and Religion,Matters of Religion
322,1599-03-14T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
324,1599-06-12T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
325,1599-07-02T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
326,1599-07-11T00:00:00Z,Verordnung,True,5 Land Divisions,Water
327,1599-10-22T00:00:00Z,Mandat,True,4 Economic order. Work and professional regulations,Monetary and Credit System
329,1599-12-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
330,1599-12-29T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
332,1599-12-31T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
333,1599-12-31T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
334,1599-12-31T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
335,1600-03-07T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
336,1600-04-18T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
337,1600-06-09T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
338,1600-06-09T00:00:00Z,Ordnung,True,2 Public Order and Safety,Administration and Justice
339,1600-06-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
341,1600-07-19T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
345,1600-11-02T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
347,1601-01-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
348,1601-03-12T00:00:00Z,Verordnung,True,5 Land Divisions,Public Construction Infrastructure
349,1601-03-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
350,1601-04-02T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
351,1601-05-25T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
352,1601-06-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
353,1601-07-10T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
354,1601-08-06T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
355,1601-12-12T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
356,1602-01-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
357,1602-03-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
358,1602-04-10T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
359,1602-04-28T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
360,1602-05-08T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
361,1602-06-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
364,1602-08-05T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
365,1602-08-11T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
366,1602-09-02T00:00:00Z,Verordnung,True,5 Land Divisions,Land Real Estate
367,1602-09-27T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
368,1602-10-28T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
371,1602-12-06T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
373,1602-12-23T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
376,1603-01-08T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
377,1603-01-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
379,1603-03-02T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
380,1603-04-27T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
381,1603-05-15T00:00:00Z,Verordnung,False,1 Social Order and Religion,Marginal Groups
382,1603-05-16T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Agriculture
383,1603-08-10T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
384,1603-10-13T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
385,1603-10-29T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
388,1603-12-12T00:00:00Z,Verordnung,True,1 Social Order and Religion,Marginal Groups
389,1603-12-14T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
390,1604-01-04T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
391,1604-01-04T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
392,1604-01-13T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
393,1604-02-04T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
396,1604-04-03T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
398,1604-05-01T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
